iter	Passed	Remaining
692	2805	1242
693	2807	1238
694	2810	1233
695	2812	1228
696	2818	1225
697	2821	1220
698	2823	1215
699	2826	1211
700	2830	1207
701	2834	1203
702	2837	1198
703	2839	1194
704	2843	1189
705	2846	1185
706	2850	1181
707	2853	1176
708	2856	1172
709	2859	1167
710	2864	1164
711	2867	1159
712	2870	1155
713	2873	1150
714	2876	1146
715	2889	1145
716	2895	1142
717	2899	1138
718	2902	1134
719	2905	1129
720	2908	1125
721	2913	1121
722	2916	1117
723	2918	1112
724	2921	1108
725	2925	1104
726	2930	1100
727	2933	1095
728	2936	1091
729	2940	1087
730	2946	1084
731	2949	1079
732	2953	1075
733	2956	1071
734	2962	1068
735	2965	1063
736	2969	1059
737	2972	1055
738	2977	1051
739	2980	1047
740	2984	1043
741	2988	1039
742	2993	1035
743	2997	1031
744	3001	1027
745	3006	1023
746	3010	1019
747	3013	1015
748	3016	1010
749	3019	1006
750	3023	1002
751	3026	998
752	3029	993
753	3032	989
754	3035	984
755	3040	981
756	3043	977
757	3046	972
758	3049	968
759	3054	964
760	3058	960
761	3061	956
762	3064	951
763	3069	948
764	3073	944
765	3076	939
766	3079	935
767	3083	931
768	3088	927
769	3091	923
770	3094	919
771	3097	914
772	3102	911
773	3106	907
774	3109	902
775	3113	898
776	3118	895
777	3122	890
778	3126	886
779	3128	882
780	3131	878
781	3136	874
782	3138	869
783	3141	865
784	3143	861
785	3146	856
786	3151	852
787	3154	848
788	3156	844
789	3158	839
790	3161	835
791	3164	830
792	3168	827
793	3171	822
794	3174	818
795	3176	814
796	3180	810
797	3184	806
798	3187	801
799	3189	797
800	3192	793
801	3195	788
802	3199	784
803	3202	780
804	3204	776
805	3207	771
806	3210	767
807	3214	763
808	3217	759
809	3220	755
810	3223	751
811	3225	746
812	3229	742
813	3232	738
814	3235	734
815	3237	730
816	3240	725
817	3242	721
818	3247	717
819	3250	713
820	3252	709
821	3255	704
822	3257	700
823	3262	696
824	3265	692
825	3268	688
826	3270	684
827	3272	679
828	3276	675
829	3280	671
830	3283	667
831	3285	663
832	3288	659
833	3291	655
834	3295	651
835	3298	647
836	3300	642
837	3303	638
838	3305	634
839	3309	630
840	3313	626
841	3315	622
842	3318	617
843	3321	613
844	3324	609
845	3328	605
846	3330	601
847	3333	597
848	3335	593
849	3338	589
850	3342	585
851	3345	581
852	3348	577
853	3351	572
854	3354	568
855	3357	564
856	3361	560
857	3364	556
858	3366	552
859	3368	548
860	3371	544
861	3376	540
862	3379	536
863	3381	532
864	3384	528
865	3386	524
866	3390	520
867	3393	516
868	3396	512
869	3398	507
870	3401	503
871	3405	499
872	3409	495
873	3411	491
874	3414	487
875	3417	483
876	3420	479
877	3424	475
878	3426	471
879	3429	467
880	3431	463
881	3434	459
882	3439	455
883	3441	451
884	3444	447
885	3446	443
886	3449	439
887	3453	435
888	3456	431
889	3459	427
890	3461	423
891	3464	419
892	3466	415
893	3471	411
894	3474	407
895	3477	403
896	3480	399
897	3483	395
898	3487	391
899	3490	387
900	3493	383
901	3496	379
902	3498	375
903	3503	372
904	3506	368
905	3509	364
906	3512	360
907	3515	356
908	3520	352
909	3523	348
910	3525	344
911	3528	340
912	3530	336
913	3535	332
914	3538	328
915	3541	324
916	3544	320
917	3548	316
918	3552	313
919	3554	309
920	3557	305
921	3559	301
922	3562	297
923	3567	293
924	3569	289
925	3572	285
926	3574	281
927	3578	277
928	3582	273
929	3585	269
930	3588	265
931	3590	261
932	3594	258
933	3598	254
934	3600	250
935	3603	246
936	3605	242
937	3608	238
938	3613	234
939	3616	230
940	3619	226
941	3622	223
942	3625	219
943	3628	215
944	3632	211
945	3634	207
946	3637	203
947	3640	199
948	3643	195
949	3647	191
950	3649	188
951	3652	184
952	3656	180
953	3658	176
954	3663	172
955	3666	168
956	3669	164
957	3671	160
958	3675	157
959	3679	153
960	3683	149
961	3686	145
962	3689	141
963	3695	137
964	3698	134
965	3701	130
966	3704	126
967	3708	122
968	3711	118
969	3715	114
970	3718	111
971	3722	107
972	3727	103
973	3730	99
974	3733	95
975	3738	91
976	3743	88
977	3746	84
978	3749	80
979	3753	76
980	3758	72
981	3762	68
982	3765	65
983	3768	61
984	3772	57
985	3776	53
986	3779	49
987	3782	45
988	3785	42
989	3790	38
990	3793	34
991	3796	30
992	3798	26
993	3801	22
994	3806	19
995	3808	15
996	3811	11
997	3814	7
998	3817	3
999	3821	0
